bug_category,touches_r_%
Implementation / Logic,98.1
Dependency / Package,90.4
Documentation / Formatting,89.2
Reproducibility / Versioning,87.5
Environment / Configuration,87.5
Rendering / Conversion,23.1
Data / Input Handling,0.0
