bug_category,count,percent,median_score
Implementation / Logic,464,45.4,6.0
Documentation / Formatting,381,37.3,6.0
Dependency / Package,146,14.3,6.0
Rendering / Conversion,13,1.3,3.0
Environment / Configuration,8,0.8,3.0
Reproducibility / Versioning,8,0.8,5.0
Data / Input Handling,2,0.2,3.0
