bug_category,touches_rmd_%
Rendering / Conversion,76.9
Documentation / Formatting,17.1
Implementation / Logic,3.0
Dependency / Package,2.1
Data / Input Handling,0.0
Environment / Configuration,0.0
Reproducibility / Versioning,0.0
