bug_category,touches_rmd_%
Rendering / Conversion,88.2
Documentation / Formatting,19.4
Dependency / Package,7.4
Implementation / Logic,5.3
Data / Input Handling,0.0
Environment / Configuration,0.0
Reproducibility / Versioning,0.0
