bug_category,count,percent
Documentation / Formatting,263,53.8
Implementation / Logic,132,27.0
Dependency / Package,68,13.9
Rendering / Conversion,17,3.5
Reproducibility / Versioning,4,0.8
Environment / Configuration,3,0.6
Data / Input Handling,2,0.4
