bug_category,count,percent
Data / Input Handling,290,77.1
Documentation / Formatting,28,7.4
Environment / Configuration,24,6.4
Visualization / Plotting,21,5.6
Rendering / Conversion,7,1.9
Dependency / Package,6,1.6
