bug_category,count,percent,median_score
Implementation / Logic,3,37.5,3.0
Documentation / Formatting,2,25.0,5.5
Data / Input Handling,1,12.5,4.0
Dependency / Package,1,12.5,3.0
Visualization / Plotting,1,12.5,4.0
