bug_category,count,percent,median_score
Implementation / Logic,57,48.3,6.0
Documentation / Formatting,29,24.6,6.0
Rendering / Conversion,19,16.1,3.0
Dependency / Package,6,5.1,6.0
Environment / Configuration,4,3.4,3.0
File I/O and Export,2,1.7,4.0
Data / Input Handling,1,0.8,3.0
