bug_category,count,percent
Implementation / Logic,1043,66.2
Documentation / Formatting,354,22.5
Dependency / Package,105,6.7
Rendering / Conversion,33,2.1
Visualization / Plotting,13,0.8
Data / Input Handling,12,0.8
Reproducibility / Versioning,11,0.7
Environment / Configuration,3,0.2
File I/O and Export,2,0.1
