bug_category,touches_rmd_%
Rendering / Conversion,75.8
Documentation / Formatting,4.8
Implementation / Logic,1.4
Dependency / Package,1.0
Data / Input Handling,0.0
File I/O and Export,0.0
Environment / Configuration,0.0
Reproducibility / Versioning,0.0
Visualization / Plotting,0.0
