bug_category,touches_rmd_%
Documentation / Formatting,25.0
Dependency / Package,8.7
Implementation / Logic,6.0
Rendering / Conversion,5.9
Data / Input Handling,0.0
Environment / Configuration,0.0
Visualization / Plotting,0.0
