bug_category,count,percent,median_score
Rendering / Conversion,11,57.9,6.0
Implementation / Logic,4,21.1,6.0
Documentation / Formatting,2,10.5,6.5
Environment / Configuration,1,5.3,4.0
Visualization / Plotting,1,5.3,6.0
