bug_category,count,percent,median_score
Rendering / Conversion,113,46.9,3.0
Documentation / Formatting,94,39.0,3.0
Implementation / Logic,20,8.3,6.0
Data / Input Handling,8,3.3,3.0
Dependency / Package,3,1.2,1.0
Visualization / Plotting,3,1.2,4.0
