bug_category,touches_r_%
Environment / Configuration,33.3
Implementation / Logic,14.3
Documentation / Formatting,5.6
Rendering / Conversion,5.3
Dependency / Package,0.0
Reproducibility / Versioning,0.0
Visualization / Plotting,0.0
