bug_category,count,percent,median_score
Rendering / Conversion,38,35.8,3.0
Visualization / Plotting,28,26.4,6.0
Documentation / Formatting,18,17.0,6.0
Implementation / Logic,14,13.2,6.0
Dependency / Package,3,2.8,4.0
Environment / Configuration,3,2.8,6.0
Reproducibility / Versioning,2,1.9,4.0
