bug_category,touches_r_%
Implementation / Logic,14.3
Rendering / Conversion,2.6
Dependency / Package,0.0
Environment / Configuration,0.0
Documentation / Formatting,0.0
Reproducibility / Versioning,0.0
Visualization / Plotting,0.0
