bug_category,touches_rmd_%
Documentation / Formatting,100.0
Visualization / Plotting,100.0
Rendering / Conversion,90.6
Implementation / Logic,88.9
Data / Input Handling,0.0
Dependency / Package,0.0
Environment / Configuration,0.0
