bug_category,count,percent,median_score
Documentation / Formatting,24,52.2,6.0
Implementation / Logic,8,17.4,6.0
Dependency / Package,5,10.9,3.0
Data / Input Handling,3,6.5,3.0
Environment / Configuration,3,6.5,4.0
Rendering / Conversion,2,4.3,4.5
Reproducibility / Versioning,1,2.2,7.0
