bug_category,count,percent
Documentation / Formatting,24,52.2
Implementation / Logic,8,17.4
Dependency / Package,5,10.9
Data / Input Handling,3,6.5
Environment / Configuration,3,6.5
Rendering / Conversion,2,4.3
Reproducibility / Versioning,1,2.2
