bug_category,touches_rmd_%
Implementation / Logic,2.2
Dependency / Package,1.5
Documentation / Formatting,0.0
Data / Input Handling,0.0
Environment / Configuration,0.0
File I/O and Export,0.0
Rendering / Conversion,0.0
Visualization / Plotting,0.0
