bug_category,count,percent,median_score
Implementation / Logic,50,37.9,6.0
Documentation / Formatting,38,28.8,6.0
Rendering / Conversion,17,12.9,0.0
Dependency / Package,17,12.9,6.0
Data / Input Handling,5,3.8,3.0
Environment / Configuration,3,2.3,3.0
File I/O and Export,1,0.8,3.0
Reproducibility / Versioning,1,0.8,7.0
