bug_category,touches_r_%
Reproducibility / Versioning,100.0
File I/O and Export,100.0
Dependency / Package,58.8
Implementation / Logic,52.0
Documentation / Formatting,47.4
Data / Input Handling,20.0
Environment / Configuration,0.0
Rendering / Conversion,0.0
