bug_category,touches_rmd_%
Documentation / Formatting,21.1
Rendering / Conversion,17.6
Implementation / Logic,4.0
Data / Input Handling,0.0
Environment / Configuration,0.0
Dependency / Package,0.0
File I/O and Export,0.0
Reproducibility / Versioning,0.0
