bug_category,touches_rmd_%
Rendering / Conversion,71.4
Visualization / Plotting,50.0
Documentation / Formatting,48.4
Dependency / Package,20.0
Implementation / Logic,1.7
Data / Input Handling,0.0
Environment / Configuration,0.0
Reproducibility / Versioning,0.0
