bug_category,mean,median,min,max,std,count
Documentation / Formatting,35.054716981132074,34.3,3.9,95.5,18.51454278749271,53
Implementation / Logic,33.20612244897959,33.3,1.9,75.6,21.053190654499236,49
Rendering / Conversion,18.982978723404255,11.8,0.9,57.9,17.65594270135272,47
Dependency / Package,9.285365853658536,6.7,0.8,45.4,8.639431722503797,41
Data / Input Handling,9.08,2.9,0.2,77.1,17.56453311447281,35
Visualization / Plotting,6.128571428571428,1.5,0.2,37.1,9.608545303902295,21
Environment / Configuration,2.2384615384615385,1.6,0.2,6.5,1.7825996573716543,26
Reproducibility / Versioning,1.3944444444444446,0.8,0.3,6.8,1.4929135439378942,18
File I/O and Export,1.3333333333333333,1.2,0.1,2.6,0.8860022573334675,9
