bug_category,r_mean,r_median,r_min,r_max,r_std,r_count,rmd_mean,rmd_median,rmd_min,rmd_max,rmd_std,rmd_count
Data / Input Handling,22.054285714285715,0.0,0.0,100.0,34.97581805675881,35,2.3857142857142857,0.0,0.0,50.0,8.947202745818936,35
Dependency / Package,51.21463414634147,56.5,0.0,100.0,36.52520746673186,41,17.446341463414633,1.0,0.0,100.0,31.702997473117396,41
Documentation / Formatting,37.17169811320755,42.6,0.0,91.6,35.583965583902284,53,43.27169811320755,33.3,0.0,100.0,35.7500746495105,53
Environment / Configuration,42.065384615384616,29.15,0.0,100.0,44.007389764062964,26,7.6923076923076925,0.0,0.0,100.0,27.1746488194703,26
File I/O and Export,81.47777777777777,100.0,0.0,100.0,37.684936572116506,9,7.411111111111111,0.0,0.0,66.7,22.233333333333334,9
Implementation / Logic,56.62857142857143,86.9,0.0,100.0,44.10682109001585,49,35.169387755102036,5.3,0.0,100.0,41.567977479072525,49
Rendering / Conversion,15.953191489361702,2.8,0.0,85.7,24.34061600327848,47,70.44680851063829,84.6,0.0,100.0,32.64083099874484,47
Reproducibility / Versioning,43.666666666666664,41.65,0.0,100.0,43.32481967648567,18,13.88888888888889,0.0,0.0,100.0,33.455657903434414,18
Visualization / Plotting,34.12857142857143,0.0,0.0,100.0,46.09172531872877,21,47.49523809523809,50.0,0.0,100.0,44.69670542881742,21
