bug_category,touches_rmd_%
Implementation / Logic,55.6
Documentation / Formatting,51.9
Rendering / Conversion,30.0
Data / Input Handling,0.0
Environment / Configuration,0.0
Dependency / Package,0.0
Reproducibility / Versioning,0.0
Visualization / Plotting,0.0
