bug_category,touches_rmd_%
Rendering / Conversion,85.7
Documentation / Formatting,24.6
Implementation / Logic,0.7
Data / Input Handling,0.0
Dependency / Package,0.0
File I/O and Export,0.0
Environment / Configuration,0.0
Reproducibility / Versioning,0.0
Visualization / Plotting,0.0
