bug_category,count,percent,median_score
Implementation / Logic,196,61.6,3.0
Documentation / Formatting,89,28.0,6.0
Dependency / Package,23,7.2,6.0
Rendering / Conversion,7,2.2,3.0
Data / Input Handling,3,0.9,3.0
