bug_category,touches_r_%
Environment / Configuration,100.0
File I/O and Export,100.0
Visualization / Plotting,100.0
Implementation / Logic,97.7
Documentation / Formatting,90.0
Dependency / Package,88.0
Rendering / Conversion,85.7
Data / Input Handling,50.0
