bug_category,touches_rmd_%
Rendering / Conversion,100.0
Documentation / Formatting,25.3
Dependency / Package,12.0
Implementation / Logic,4.8
Environment / Configuration,0.0
Data / Input Handling,0.0
File I/O and Export,0.0
Visualization / Plotting,0.0
