bug_category,touches_rmd_%
Visualization / Plotting,100.0
Documentation / Formatting,33.3
Dependency / Package,33.3
Rendering / Conversion,27.8
Data / Input Handling,9.1
Implementation / Logic,2.8
File I/O and Export,0.0
