bug_category,count,percent
Implementation / Logic,106,69.7
Rendering / Conversion,18,11.8
Data / Input Handling,11,7.2
Documentation / Formatting,6,3.9
Dependency / Package,6,3.9
File I/O and Export,4,2.6
Visualization / Plotting,1,0.7
