bug_category,touches_r_%
Rendering / Conversion,11.1
Dependency / Package,0.0
Data / Input Handling,0.0
Documentation / Formatting,0.0
File I/O and Export,0.0
Implementation / Logic,0.0
Visualization / Plotting,0.0
