bug_category,count,percent
Rendering / Conversion,32,48.5
Documentation / Formatting,20,30.3
Implementation / Logic,9,13.6
Environment / Configuration,2,3.0
Data / Input Handling,1,1.5
Dependency / Package,1,1.5
Visualization / Plotting,1,1.5
