bug_category,count,percent,median_score
Rendering / Conversion,40,51.3,3.0
Documentation / Formatting,15,19.2,4.0
Data / Input Handling,13,16.7,3.0
Implementation / Logic,7,9.0,6.0
Environment / Configuration,3,3.8,3.0
