bug_category,count,percent
Documentation / Formatting,34,33.3
Implementation / Logic,34,33.3
Dependency / Package,20,19.6
Rendering / Conversion,10,9.8
Reproducibility / Versioning,2,2.0
Environment / Configuration,2,2.0
