bug_category,count,percent,median_score
Documentation / Formatting,50,38.8,7.0
Rendering / Conversion,36,27.9,6.0
Dependency / Package,34,26.4,7.0
File I/O and Export,3,2.3,7.0
Environment / Configuration,3,2.3,7.0
Reproducibility / Versioning,2,1.6,7.0
Data / Input Handling,1,0.8,6.0
