bug_category,count,percent
Documentation / Formatting,50,38.8
Rendering / Conversion,36,27.9
Dependency / Package,34,26.4
Environment / Configuration,3,2.3
File I/O and Export,3,2.3
Reproducibility / Versioning,2,1.6
Data / Input Handling,1,0.8
