bug_category,touches_r_%
Data / Input Handling,100.0
File I/O and Export,33.3
Rendering / Conversion,2.8
Documentation / Formatting,0.0
Dependency / Package,0.0
Environment / Configuration,0.0
Reproducibility / Versioning,0.0
