bug_category,touches_rmd_%
Rendering / Conversion,91.7
Documentation / Formatting,78.6
Implementation / Logic,24.6
Data / Input Handling,0.0
Environment / Configuration,0.0
Dependency / Package,0.0
File I/O and Export,0.0
Visualization / Plotting,0.0
