bug_category,count,percent,median_score
Rendering / Conversion,14,42.4,0.0
Documentation / Formatting,5,15.2,4.0
Implementation / Logic,4,12.1,6.0
Environment / Configuration,3,9.1,4.0
Data / Input Handling,2,6.1,3.0
Reproducibility / Versioning,2,6.1,4.0
Dependency / Package,1,3.0,3.0
File I/O and Export,1,3.0,1.0
Visualization / Plotting,1,3.0,3.0
