bug_category,touches_rmd_%
Implementation / Logic,75.0
Documentation / Formatting,60.0
Rendering / Conversion,35.7
Data / Input Handling,0.0
Dependency / Package,0.0
File I/O and Export,0.0
Environment / Configuration,0.0
Reproducibility / Versioning,0.0
Visualization / Plotting,0.0
