bug_category,count,percent,median_score
Data / Input Handling,16,61.5,3.0
Documentation / Formatting,5,19.2,4.0
Rendering / Conversion,3,11.5,0.0
Environment / Configuration,1,3.8,3.0
Implementation / Logic,1,3.8,3.0
