bug_category,touches_rmd_%
Rendering / Conversion,72.7
Documentation / Formatting,11.1
Implementation / Logic,2.2
Data / Input Handling,0.0
Environment / Configuration,0.0
Dependency / Package,0.0
Reproducibility / Versioning,0.0
Visualization / Plotting,0.0
