bug_category,touches_r_%
Documentation / Formatting,51.0
Implementation / Logic,34.0
Dependency / Package,10.4
Visualization / Plotting,7.7
Reproducibility / Versioning,4.8
Environment / Configuration,1.8
Rendering / Conversion,0.3
Data / Input Handling,0.0
File I/O and Export,0.0
