bug_category,touches_rmd_%
Implementation / Logic,0.6
Data / Input Handling,0.0
Dependency / Package,0.0
Environment / Configuration,0.0
Documentation / Formatting,0.0
File I/O and Export,0.0
Rendering / Conversion,0.0
Reproducibility / Versioning,0.0
Visualization / Plotting,0.0
